time,signal
0.000000000000000000e+00,-5.317838509412303738e-01
1.000100010001000205e-11,-5.275899512185282525e-01
2.000200020002000411e-11,-4.198015382313811661e-01
3.000300030003000778e-11,-2.813457001889512199e-01
4.000400040004000821e-11,-1.250906677709385517e-01
5.000500050005000865e-11,3.477395933878352913e-02
6.000600060006001555e-11,1.840199356094134875e-01
7.000700070007001599e-11,3.096411129565678211e-01
8.000800080008001643e-11,4.009809947043477818e-01
9.000900090009001686e-11,4.506298876027163280e-01
1.000100010001000173e-10,4.550167675906187648e-01
1.100110011001100177e-10,4.146494924826294448e-01
1.200120012001200311e-10,3.339890535042436825e-01
1.300130013001300186e-10,2.209762485268689791e-01
1.400140014001400320e-10,8.625957550392772399e-02
1.500150015001500195e-10,-5.780136340653199700e-02
1.600160016001600329e-10,-1.982642481599616868e-01
1.700170017001700462e-10,-3.227616837911454484e-01
1.800180018001800337e-10,-4.136601187726101636e-01
1.900190019001900471e-10,-4.121018280219826968e-01
2.000200020002000346e-10,-3.337048528231491562e-01
2.100210021002100480e-10,-2.316826714124482489e-01
2.200220022002200355e-10,-1.155376839458908539e-01
2.300230023002300488e-10,4.165247362971124037e-03
2.400240024002400622e-10,1.167554066615457131e-01
2.500250025002500497e-10,3.317041940558964619e-01
2.600260026002600372e-10,4.170351385214500772e-01
2.700270027002700764e-10,5.333165234542308619e-01
2.800280028002800640e-10,5.956940630715005236e-01
2.900290029002900515e-10,5.997114065579559616e-01
3.000300030003000390e-10,5.461685230064792229e-01
3.100310031003100782e-10,4.409467679839417231e-01
3.200320032003200657e-10,2.943874337121063500e-01
3.300330033003300532e-10,1.202876576566053318e-01
3.400340034003400924e-10,-6.538981590347438255e-02
3.500350035003500799e-10,-2.459730979999178169e-01
3.600360036003600675e-10,-4.055715724552524937e-01
3.700370037003700550e-10,-5.304676128214602659e-01
3.800380038003800942e-10,-6.102883103002347820e-01
3.900390039003900817e-10,-6.388578071390140778e-01
4.000400040004000692e-10,-6.146610824382776617e-01
4.100410041004101084e-10,-5.408858144777803911e-01
4.200420042004200959e-10,-2.959760915892478139e-01
4.300430043004300834e-10,-1.169198157671663962e-01
4.400440044004400710e-10,6.457094784576337954e-02
4.500450045004501102e-10,2.323761287227655570e-01
4.600460046004600977e-10,3.719068093636592742e-01
4.700470047004700852e-10,4.713668206072643696e-01
4.800480048004801244e-10,5.227420422251303211e-01
4.900490049004900602e-10,5.224351939123234034e-01
5.000500050005000994e-10,4.714969234066598291e-01
5.100510051005101386e-10,3.754407224418191968e-01
5.200520052005200745e-10,2.436663021731083623e-01
5.300530053005301137e-10,1.801965186166728725e-02
5.400540054005401529e-10,-3.777232531848552510e-02
5.500550055005500887e-10,-9.348792935760918965e-02
5.600560056005601279e-10,-1.441947942348188183e-01
5.700570057005701671e-10,-1.855017783717271829e-01
5.800580058005801029e-10,-2.139371028233591210e-01
5.900590059005901421e-10,-2.272375872099705041e-01
6.000600060006000780e-10,-2.245251307462900192e-01
6.100610061006101172e-10,-2.063570430617953366e-01
6.200620062006201564e-10,-1.746482659702612572e-01
6.300630063006300922e-10,-1.324749107965860762e-01
6.400640064006401314e-10,-8.377885929562051137e-02
6.500650065006501706e-10,-2.078143999783757523e-02
6.600660066006601064e-10,8.161817644261645799e-02
6.700670067006701456e-10,1.703888626851494115e-01
6.800680068006801849e-10,2.379394550852820256e-01
6.900690069006901207e-10,2.787082589835516155e-01
7.000700070007001599e-10,2.896153727361615582e-01
7.100710071007100957e-10,2.702862798132213973e-01
7.200720072007201349e-10,2.230314384781178494e-01
7.300730073007301741e-10,1.525885085278053110e-01
7.400740074007401099e-10,6.565474269348926806e-02
7.500750075007501491e-10,-2.974489293071513538e-02
7.600760076007601884e-10,-1.249946604216256446e-01
7.700770077007701242e-10,-2.116627133165264463e-01
7.800780078007801634e-10,-2.822441345703819993e-01
7.900790079007902026e-10,-3.308071759647603360e-01
8.000800080008001384e-10,-3.534873883625739288e-01
8.100810081008101776e-10,-3.487888975146962167e-01
8.200820082008202168e-10,-3.176699651825948267e-01
8.300830083008301526e-10,-3.054418716684621504e-01
8.400840084008401919e-10,-1.777586658766329708e-01
8.500850085008501277e-10,-4.123605066347626330e-02
8.600860086008601669e-10,9.186120571855788119e-02
8.700870087008702061e-10,2.098145493612176560e-01
8.800880088008801419e-10,3.024785568570355632e-01
8.900890089008901811e-10,3.621482070446551682e-01
9.000900090009002203e-10,3.841928688400107483e-01
9.100910091009101561e-10,3.674054823411643800e-01
9.200920092009201954e-10,3.140416516890845444e-01
9.300930093009302346e-10,2.295513285945191551e-01
9.400940094009401704e-10,1.220329349304059979e-01
9.500950095009501062e-10,1.463761017419775530e-03
9.600960096009602488e-10,-1.212207780735971990e-01
9.700970097009701846e-10,-2.351144989146388697e-01
9.800980098009801204e-10,-3.303056646119670314e-01
9.900990099009902630e-10,-3.987350223577383335e-01
1.000100010001000199e-09,-4.348728028497102494e-01
1.010101010101010135e-09,-4.361583152503473171e-01
1.020102010201020277e-09,-4.031679108754488983e-01
1.030103010301030213e-09,-3.170363688693940696e-01
1.040104010401040149e-09,-1.761645336310558585e-01
1.050105010501050292e-09,-2.685563508794457793e-02
1.060106010601060227e-09,1.175012408311428280e-01
1.070107010701070163e-09,2.442206809778882937e-01
1.080108010801080306e-09,3.424303628738712413e-01
1.090109010901090242e-09,5.457696433240911693e-01
